Data File:	H4L_080116_2_186.AKF
Measurement Programm:	5.6.5

------------------------MEASURING INFOS------------------------
Diagram Title #1	Forces and Moments at Hip Joint
Diagram Title #2	Measured Relative to Bone

Comment #1	Hip Joint III; Gaitanalysis; Sports; Jogging; on Treadmill; Velocity; 8 km/h;
Comment #2	H4L, 60 Months PO  *  

BodyWeight [N]:	807

Implant Type:	Hip Joint III

Axes Directions X, Y, Z:	Lateral, Anterior, Superior
Axes Origin: 	Ball center
Angle of Rotation (Deg):	X = 7,5	Y = -1,7	Z = -18,9
Displacement X, Y, Z (mm):	0	0	0
Activity Code:	Huefte_III_Activities	1P_1_13_8_2_1_1_3	






---------------------------DATA--------------------------------

Number of Data Sets =	2914
Number of analog channels =	0
Time-Offset(sec) =	0.0
Max. Force (N, sec):	5117,20	29,030

Time	Fx	Fy	Fz	F	Mx	My	Mz	Marker
[s]	[N]	[N]	[N]	[N]	[Nm]	[Nm]	[Nm]	[0/1]

0.000	00194.33	-00070.41	-00293.71	00359.15	-00000.03	-00000.16	00000.07	0
0.011	00198.71	-00083.47	-00374.11	00431.76	00000.02	-00000.09	00000.11	0
0.021	00205.16	-00102.78	-00474.64	00527.20	-00000.05	00000.02	00000.08	0
0.032	00217.34	-00126.63	-00597.04	00647.87	-00000.10	00000.17	00000.00	0
0.042	00228.50	-00143.51	-00732.26	00780.39	-00000.05	00000.25	00000.11	0
0.053	00242.84	-00163.58	-00879.58	00927.03	-00000.02	00000.31	00000.12	0
0.063	00264.41	-00178.95	-01037.27	01085.30	00000.04	00000.32	00000.13	0
0.073	00295.77	-00190.69	-01189.41	01240.38	00000.10	00000.37	00000.11	0
0.084	00334.82	-00202.93	-01324.81	01381.45	00000.13	00000.40	00000.09	0
0.094	00365.69	-00217.98	-01435.06	01496.88	00000.12	00000.50	00000.06	0
0.104	00392.72	-00236.67	-01518.52	01586.23	00000.17	00000.53	00000.06	0
0.114	00421.23	-00258.67	-01593.09	01668.01	00000.17	00000.51	00000.01	0
0.125	00437.14	-00286.43	-01673.40	01753.11	00000.16	00000.63	00000.05	0
0.135	00448.49	-00322.36	-01798.51	01881.41	00000.14	00000.78	00000.13	0
0.145	00470.01	-00386.34	-02035.24	02124.23	00000.09	00001.02	00000.14	0
0.155	00521.99	-00472.67	-02348.83	02452.12	00000.14	00001.24	00000.19	0
0.164	00593.53	-00570.50	-02683.95	02807.37	00000.27	00001.34	00000.19	0
0.174	00668.63	-00667.13	-02985.39	03131.24	00000.37	00001.44	00000.13	0
0.184	00720.70	-00755.12	-03225.72	03390.42	00000.50	00001.61	00000.10	0
0.193	00759.35	-00834.65	-03423.53	03604.69	00000.61	00001.65	00000.05	0
0.203	00786.73	-00907.34	-03582.24	03778.18	00000.72	00001.70	00000.04	0
0.213	00811.64	-00965.99	-03696.28	03905.69	00000.84	00001.65	-00000.06	0
0.222	00833.21	-01008.36	-03765.52	03986.24	00000.87	00001.65	-00000.11	0
0.232	00853.19	-01029.45	-03786.27	04015.41	00000.90	00001.65	-00000.16	0
0.241	00864.88	-01027.65	-03746.94	03980.41	00000.86	00001.63	-00000.18	0
0.251	00861.46	-00998.44	-03648.93	03879.91	00000.83	00001.61	-00000.14	0
0.261	00850.22	-00941.20	-03503.13	03725.67	00000.87	00001.52	-00000.09	0
0.271	00817.36	-00862.95	-03318.51	03524.95	00000.88	00001.50	-00000.03	0
0.281	00780.75	-00770.64	-03109.00	03296.87	00000.85	00001.37	-00000.03	0
0.291	00739.21	-00673.04	-02885.70	03053.96	00000.73	00001.26	-00000.05	0
0.301	00694.44	-00569.50	-02650.35	02798.38	00000.68	00001.08	-00000.04	0
0.311	00649.06	-00467.40	-02425.10	02553.60	00000.65	00000.88	00000.05	0
0.321	00597.80	-00378.29	-02211.47	02321.87	00000.60	00000.79	00000.06	0
0.331	00552.40	-00304.91	-02016.10	02112.53	00000.53	00000.67	00000.05	0
0.341	00519.80	-00248.23	-01853.33	01940.78	00000.47	00000.59	00000.01	0
0.351	00482.21	-00203.20	-01702.10	01780.72	00000.46	00000.60	00000.02	0
0.362	00450.90	-00171.36	-01573.62	01645.89	00000.37	00000.54	00000.00	0
0.372	00416.12	-00151.53	-01461.82	01527.42	00000.26	00000.55	-00000.02	1
0.382	00400.30	-00141.90	-01378.22	01442.17	00000.26	00000.52	-00000.05	1
0.393	00394.35	-00136.91	-01308.83	01373.79	00000.35	00000.43	-00000.04	1
0.403	00402.85	-00141.64	-01248.23	01319.26	00000.35	00000.26	-00000.11	1
0.413	00405.84	-00150.53	-01187.17	01263.63	00000.34	00000.21	-00000.14	1
0.424	00400.58	-00157.76	-01118.23	01198.25	00000.32	00000.14	-00000.18	1
0.434	00388.43	-00164.77	-01049.09	01130.76	00000.24	00000.15	-00000.21	1
0.445	00371.97	-00170.27	-00984.16	01065.80	00000.18	00000.20	-00000.19	1
0.455	00354.64	-00169.11	-00921.74	01001.99	00000.17	00000.22	-00000.09	1
0.465	00347.50	-00168.98	-00871.89	00953.68	00000.17	00000.15	-00000.10	1
0.476	00338.41	-00170.13	-00833.86	00915.85	00000.10	00000.11	-00000.15	1
0.486	00326.94	-00169.36	-00804.60	00884.85	00000.10	00000.15	-00000.11	1
0.497	00329.21	-00176.27	-00796.38	00879.58	00000.06	00000.14	-00000.16	1
